,snapshot,altitude (ft),heading,latitude,longitude,radar_id,ground speed (kts),squawk,date,flight_radar_flight_id,CAS (kts),TAS (kts),x (m),y (m),Distance (m),Distance (ft),ROC (ft/min)
63,1574799172,6775,178,48.63755,2.17276,22560,251,1000,2019-11-26T00:00:00.000Z,586933868,233.275182196303,258.82518080587,-15232.8877102481,-9518.7614218933,18179.3675716805,59643.5943952772,61.1111111111111
64,1574799182,7450,157,48.62567,2.17748,22560,253,1000,2019-11-26T00:00:00.000Z,586933868,231.651780611293,259.709364543563,-14888.5171412478,-10840.7940002163,19545.5158897415,64125.7082996768,67.5
65,1574799188,7825,156,48.62,2.18107,22560,251,1000,2019-11-26T00:00:00.000Z,586933868,228.470966266912,257.63230058044,-14625.507768252,-11472.0147253877,20229.3386256677,66369.2212128205,62.5
66,1574799198,8450,156,48.60966,2.1878,22560,250,1000,2019-11-26T00:00:00.000Z,586933868,225.388202764836,256.63230058044,-14132.2159031977,-12623.1324488319,21481.6999462761,70478.018196444,62.5
67,1574799218,9350,157,48.58787,2.20153,22560,261,1000,2019-11-26T00:00:00.000Z,586933868,231.838683534016,267.709364543563,-13125.3927176622,-15048.7220044903,24107.9477676842,79094.3168231108,45
68,1574799234,9725,158,48.57014,2.21227,22560,279,1000,2019-11-26T00:00:00.000Z,586933868,246.041448965741,285.784384769251,-12337.3854460903,-17022.1640819409,26232.9016714438,86065.9503656293,23.4375
69,1574799248,10075,158,48.55087,2.22379,22560,299,1000,2019-11-26T00:00:00.000Z,586933868,261.816081439398,305.784384769251,-11491.5884004244,-19166.868884442,28538.3585312285,93629.7852074426,25
70,1574799262,10600,157,48.53234,2.23514,22560,309,1000,2019-11-26T00:00:00.000Z,586933868,268.085738593261,315.709364543563,-10657.5434874794,-21229.1326013255,30762.8950121124,100928.133241839,37.5
71,1574799279,11300,157,48.51054,2.24875,22560,315,1000,2019-11-26T00:00:00.000Z,586933868,270.16872280327,321.709364543563,-9656.53546417103,-23655.200522713,33387.3611715272,109538.586520758,41.1764705882353
72,1574799293,12000,157,48.49133,2.26101,22560,318,1000,2019-11-26T00:00:00.000Z,586933868,269.665930106441,324.709364543563,-8754.00430270079,-25792.9176613778,35707.791532983,117151.547024222,50
73,1574799328,13550,157,48.44268,2.29188,22560,328,1000,2019-11-26T00:00:00.000Z,586933868,271.138184511226,334.709364543563,-6478.47370850676,-31206.1001360375,41579.8085620009,136416.694757221,44.2857142857143
74,1574799364,15225,157,48.39285,2.32361,22560,333,1000,2019-11-26T00:00:00.000Z,586933868,267.79739146871,339.709364543563,-4134.96934857763,-36749.6311820425,47598.3423654307,156162.540568998,46.5277777777778
75,1574799394,16300,157,48.34832,2.35129,22560,345,1000,2019-11-26T00:00:00.000Z,586933868,272.404154415793,351.709364543563,-2086.86517351456,-41702.6978406209,52958.1557983995,173747.23030971,35.8333333333333
76,1574799430,17625,157,48.29543,2.38447,22560,354,1000,2019-11-26T00:00:00.000Z,586933868,273.304177388962,360.709364543563,372.931052805995,-47584.6729943723,59333.7521771212,194664.541263521,36.8055555555556
77,1574799465,18950,157,48.24143,2.418,22560,363,1000,2019-11-26T00:00:00.000Z,586933868,273.973667339604,369.709364543563,2863.9063305544,-53588.9905075692,65834.2742049,215991.713270669,37.8571428571429
78,1574799528,20875,157,48.14102,2.4803,677,382,1000,2019-11-26T00:00:00.000Z,586933868,278.795474883668,388.709364543563,7506.26798818178,-64750.7304933329,77922.9449866693,255652.706649178,30.5555555555556
79,1574799591,22875,161,48.03374,2.54066,677,388,1000,2019-11-26T00:00:00.000Z,586933868,273.703041860736,394.996957657115,12023.8245034999,-76672.8713683275,90672.2884957411,297481.261468967,31.7460317460317
